nH	N	vr	sym
1	17	5000	True
0.225	1.000000	0.994488	0.979675	0.959887	0.940080	0.923951	0.913066	0.907185	0.905381	0.907185	0.913066	0.923951	0.940080	0.959887	0.979675	0.994488	1.000000
0.230	1.000000	0.994240	0.978768	0.958111	0.937448	0.920633	0.909289	0.903163	0.901284	0.903163	0.909289	0.920633	0.937448	0.958111	0.978768	0.994240	1.000000
0.235	1.000000	0.993988	0.977842	0.956299	0.934764	0.917251	0.905442	0.899066	0.897111	0.899066	0.905442	0.917251	0.934764	0.956299	0.977842	0.993988	1.000000
0.240	1.000000	0.993730	0.976897	0.954451	0.932028	0.913805	0.901523	0.894895	0.892862	0.894895	0.901523	0.913805	0.932028	0.954451	0.976897	0.993730	1.000000
0.245	1.000000	0.993466	0.975933	0.952566	0.929240	0.910295	0.897534	0.890649	0.888539	0.890649	0.897534	0.910295	0.929240	0.952566	0.975933	0.993466	1.000000
0.250	1.000000	0.993198	0.974950	0.950645	0.926401	0.906724	0.893476	0.886331	0.884142	0.886331	0.893476	0.906724	0.926401	0.950645	0.974950	0.993198	1.000000
0.255	1.000000	0.992924	0.973947	0.948688	0.923511	0.903090	0.889349	0.881941	0.879671	0.881941	0.889349	0.903090	0.923511	0.948688	0.973947	0.992924	1.000000
0.260	1.000000	0.992644	0.972926	0.946696	0.920570	0.899395	0.885154	0.877480	0.875129	0.877480	0.885154	0.899395	0.920570	0.946696	0.972926	0.992644	1.000000
0.265	1.000000	0.992359	0.971885	0.944668	0.917579	0.895639	0.880892	0.872948	0.870515	0.872948	0.880892	0.895639	0.917579	0.944668	0.971885	0.992359	1.000000
0.270	1.000000	0.992069	0.970825	0.942604	0.914538	0.891822	0.876564	0.868347	0.865831	0.868347	0.876564	0.891822	0.914538	0.942604	0.970825	0.992069	1.000000
0.275	1.000000	0.991773	0.969747	0.940505	0.911447	0.887947	0.872170	0.863678	0.861078	0.863678	0.872170	0.887947	0.911447	0.940505	0.969747	0.991773	1.000000
